,0,1
392,2018-10-02 08:40:00,2
393,2018-10-02 08:45:00,2
394,2018-10-02 08:50:00,2
395,2018-10-02 08:55:00,2
396,2018-10-02 09:00:00,2
397,2018-10-02 09:05:00,2
398,2018-10-02 09:10:00,2
399,2018-10-02 09:15:00,2
400,2018-10-02 09:20:00,2
401,2018-10-02 09:25:00,2
402,2018-10-02 09:30:00,2
403,2018-10-02 09:35:00,2
404,2018-10-02 09:40:00,2
405,2018-10-02 09:45:00,2
406,2018-10-02 09:50:00,2
407,2018-10-02 09:55:00,2
408,2018-10-02 10:00:00,2
409,2018-10-02 10:05:00,2
410,2018-10-02 10:10:00,2
411,2018-10-02 10:15:00,2
412,2018-10-02 10:20:00,2
413,2018-10-02 10:25:00,2
414,2018-10-02 10:30:00,2
415,2018-10-02 10:35:00,2
416,2018-10-02 10:40:00,2
417,2018-10-02 10:45:00,2
418,2018-10-02 10:50:00,2
419,2018-10-02 10:55:00,2
420,2018-10-02 11:00:00,2
421,2018-10-02 11:05:00,2
422,2018-10-02 11:10:00,2
423,2018-10-02 11:15:00,2
424,2018-10-02 11:20:00,2
425,2018-10-02 11:25:00,2
426,2018-10-02 11:30:00,2
427,2018-10-02 11:35:00,2
428,2018-10-02 11:40:00,2
429,2018-10-02 11:45:00,2
430,2018-10-02 11:50:00,2
431,2018-10-02 11:55:00,2
432,2018-10-02 12:00:00,2
433,2018-10-02 12:05:00,2
434,2018-10-02 12:10:00,2
435,2018-10-02 12:15:00,2
436,2018-10-02 12:20:00,2
437,2018-10-02 12:25:00,2
438,2018-10-02 12:30:00,2
439,2018-10-02 12:35:00,2
440,2018-10-02 12:40:00,2
441,2018-10-02 12:45:00,2
442,2018-10-02 12:50:00,2
443,2018-10-02 12:55:00,2
444,2018-10-02 13:00:00,2
445,2018-10-02 13:05:00,2
446,2018-10-02 13:10:00,2
447,2018-10-02 13:15:00,2
448,2018-10-02 13:20:00,2
449,2018-10-02 13:25:00,2
450,2018-10-02 13:30:00,2
451,2018-10-02 13:35:00,2
452,2018-10-02 13:40:00,6
453,2018-10-02 13:45:00,6
454,2018-10-02 13:50:00,0
455,2018-10-02 13:55:00,0
456,2018-10-02 14:00:00,0
457,2018-10-02 14:05:00,0
458,2018-10-02 14:10:00,0
459,2018-10-02 14:15:00,0
460,2018-10-02 14:20:00,0
461,2018-10-02 14:25:00,0
462,2018-10-02 14:30:00,3
463,2018-10-02 14:35:00,3
464,2018-10-02 14:40:00,3
465,2018-10-02 14:45:00,3
466,2018-10-02 14:50:00,3
467,2018-10-02 14:55:00,3
468,2018-10-02 15:00:00,3
469,2018-10-02 15:05:00,3
470,2018-10-02 15:10:00,3
471,2018-10-02 15:15:00,3
472,2018-10-02 15:20:00,1
473,2018-10-02 15:25:00,1
474,2018-10-02 15:30:00,3
475,2018-10-02 15:35:00,3
476,2018-10-02 15:40:00,1
477,2018-10-02 15:45:00,1
478,2018-10-02 15:50:00,1
479,2018-10-02 15:55:00,1
480,2018-10-02 16:00:00,1
481,2018-10-02 16:05:00,1
482,2018-10-02 16:10:00,1
483,2018-10-02 16:15:00,1
484,2018-10-02 16:20:00,1
485,2018-10-02 16:25:00,1
486,2018-10-02 16:30:00,1
487,2018-10-02 16:35:00,1
488,2018-10-02 16:40:00,1
489,2018-10-02 16:45:00,1
490,2018-10-02 16:50:00,1
491,2018-10-02 16:55:00,1
492,2018-10-02 17:00:00,1
493,2018-10-02 17:05:00,1
494,2018-10-02 17:10:00,1
495,2018-10-02 17:15:00,1
496,2018-10-02 17:20:00,4
497,2018-10-02 17:25:00,4
498,2018-10-02 17:30:00,4
499,2018-10-02 17:35:00,1
500,2018-10-02 17:40:00,1
501,2018-10-02 17:45:00,1
502,2018-10-02 17:50:00,4
503,2018-10-02 17:55:00,4
504,2018-10-02 18:00:00,4
505,2018-10-02 18:05:00,4
506,2018-10-02 18:10:00,4
507,2018-10-02 18:15:00,4
508,2018-10-02 18:20:00,4
509,2018-10-02 18:25:00,4
510,2018-10-02 18:30:00,4
511,2018-10-02 18:35:00,4
512,2018-10-02 18:40:00,4
513,2018-10-02 18:45:00,4
514,2018-10-02 18:50:00,4
515,2018-10-02 18:55:00,4
516,2018-10-02 19:00:00,4
517,2018-10-02 19:05:00,4
518,2018-10-02 19:10:00,4
519,2018-10-02 19:15:00,4
520,2018-10-02 19:20:00,4
521,2018-10-02 19:25:00,4
522,2018-10-02 19:30:00,4
523,2018-10-02 19:35:00,4
524,2018-10-02 19:40:00,4
525,2018-10-02 19:45:00,4
526,2018-10-02 19:50:00,4
527,2018-10-02 19:55:00,4
528,2018-10-02 20:00:00,4
529,2018-10-02 20:05:00,4
530,2018-10-02 20:10:00,4
531,2018-10-02 20:15:00,4
532,2018-10-02 20:20:00,4
533,2018-10-02 20:25:00,4
534,2018-10-02 20:30:00,4
535,2018-10-02 20:35:00,4
536,2018-10-02 20:40:00,4
537,2018-10-02 20:45:00,4
538,2018-10-02 20:50:00,4
539,2018-10-02 20:55:00,4
540,2018-10-02 21:00:00,4
541,2018-10-02 21:05:00,4
542,2018-10-02 21:10:00,4
543,2018-10-02 21:15:00,4
544,2018-10-02 21:20:00,4
545,2018-10-02 21:25:00,4
546,2018-10-02 21:30:00,4
547,2018-10-02 21:35:00,4
548,2018-10-02 21:40:00,4
549,2018-10-02 21:45:00,4
550,2018-10-02 21:50:00,4
551,2018-10-02 21:55:00,4
552,2018-10-02 22:00:00,4
553,2018-10-02 22:05:00,4
554,2018-10-02 22:10:00,4
555,2018-10-02 22:15:00,4
556,2018-10-02 22:20:00,4
557,2018-10-02 22:25:00,4
558,2018-10-02 22:30:00,4
559,2018-10-02 22:35:00,4
560,2018-10-02 22:40:00,4
561,2018-10-02 22:45:00,4
562,2018-10-02 22:50:00,4
563,2018-10-02 22:55:00,4
564,2018-10-02 23:00:00,4
565,2018-10-02 23:05:00,4
566,2018-10-02 23:10:00,4
567,2018-10-02 23:15:00,4
568,2018-10-02 23:20:00,4
569,2018-10-02 23:25:00,4
570,2018-10-02 23:30:00,1
571,2018-10-02 23:35:00,1
572,2018-10-02 23:40:00,1
573,2018-10-02 23:45:00,1
574,2018-10-02 23:50:00,1
575,2018-10-02 23:55:00,1
576,2018-10-03 00:00:00,1
577,2018-10-03 00:05:00,1
578,2018-10-03 00:10:00,1
579,2018-10-03 00:15:00,1
580,2018-10-03 00:20:00,1
581,2018-10-03 00:25:00,1
582,2018-10-03 00:30:00,1
583,2018-10-03 00:35:00,1
584,2018-10-03 00:40:00,1
585,2018-10-03 00:45:00,1
586,2018-10-03 00:50:00,3
587,2018-10-03 00:55:00,3
588,2018-10-03 01:00:00,3
589,2018-10-03 01:05:00,3
590,2018-10-03 01:10:00,3
591,2018-10-03 01:15:00,3
592,2018-10-03 01:20:00,3
593,2018-10-03 01:25:00,3
594,2018-10-03 01:30:00,3
595,2018-10-03 01:35:00,3
596,2018-10-03 01:40:00,3
597,2018-10-03 01:45:00,3
598,2018-10-03 01:50:00,3
599,2018-10-03 01:55:00,3
600,2018-10-03 02:00:00,3
601,2018-10-03 02:05:00,3
602,2018-10-03 02:10:00,3
603,2018-10-03 02:15:00,3
604,2018-10-03 02:20:00,3
605,2018-10-03 02:25:00,3
606,2018-10-03 02:30:00,3
607,2018-10-03 02:35:00,3
608,2018-10-03 02:40:00,3
609,2018-10-03 02:45:00,3
610,2018-10-03 02:50:00,3
611,2018-10-03 02:55:00,3
